"id","classification","score","title","description","topic_id","created_at","updated_at","privacy_related","docbot_regex"
319,"neutral",20,"Users who have been permanently banned from this service are not allowed to re-register under a new account","Once users have been permanently banned from this service, they are not allowed to create a new account to keep using the service.",47,"2018-08-29 02:57:12.348464","2018-08-29 02:57:12.348464",NULL,NULL
337,"good",50,"You can opt out of providing personal information to third parties","The Service provides opt-out instructions to the share of (some) personal information with third parties.",34,"2018-10-17 06:24:53.671696","2021-03-15 19:43:48.05179",True,""
219,"good",25,"You can opt out of targeted advertising","The service employs your data to target ads to you, but you can opt-out of this interest-based advertising.",57,"2018-01-16 15:26:10.435599","2021-03-27 16:51:25.883877",True,"^((?=.*interest-based ads)|(?=.*targeted advertising))((?=.*opt)|((?=.*set)(?=.*preference)))"
320,"good",50,"No need to register","This service can be used without providing a user profile.",45,"2018-08-29 08:43:36.413004","2021-03-27 16:57:15.948575",True,"^((?=.*without signing up for)|(?=.*without registering an account)|(?=.*not require you to register)|(?=.*no user registration)|((?=.*don’t need an account)|(?=.*do not need an account)))"
311,"good",50,"Your personal data is not shared with third parties","Information collected from users by this service is not given to third parties.",48,"2018-08-28 02:39:24.892359","2021-06-09 16:02:00.441528",True,""
325,"bad",10,"Third-party cookies are used for statistics","For instance, Google Analytics, rather than self-hosted (first-party) statistics software.",25,"2018-08-31 12:09:15.853779","2021-03-27 16:58:36.867072",True,"^((?=.*Google Analytics)|((?=.*analytics)|(?=.*statistics))((?=.*third)|(?=.*party)|(?=.*parties)))"
331,"neutral",50,"There is a date of the last update of the agreements","The given text has a date that allows to know when it was last updated.",38,"2018-09-15 15:08:09.700759","2021-03-27 16:59:06.252181",NULL,"^(((?=.*date\:)(?=.*effective))|((?=.*Last modified\:)|(?=.*Last modified on)|(?=.*Date of Last Revision)|(?=.*page was last edited)|(?=.*Last updated)|(?=.*Last update\:)|(?=.*Last Revised)|(?=.*Version Date)))"
335,"good",50,"You aren’t forced into binding arbitration in case of disputes","Binding Arbitration is a dispute resolution method involving a neutral third party which will render a decision instead of going to court. Since the arbitrator can decide the outgoing of a dispute without evidences or a legal basis, it is preferable that users decide whether they want or not their dispute to be resolved this way.",42,"2018-09-23 22:17:51.199205","2021-05-06 08:30:25.336118",NULL,""
312,"good",25,"Two factor authentication is provided for your account","The service provides means of further securing your account with two factor authentification, thus greatly improving account security.",50,"2018-08-28 19:11:03.401196","2021-05-06 08:18:28.306333",NULL,""
317,"good",50,"You aren’t allowed to publicly post private messages","The service does not allow users to publicly post private messages they have received from other users.",52,"2018-08-29 02:34:51.222481","2021-05-06 08:21:32.085499",True,""
327,"blocker",90,"Your identity is used in ads that are shown to other users","Ads shown to other users may include a reference to you as an implied endorsement.
Might give away information about your own personal lifestyle to strangers.",57,"2018-08-31 13:32:23.819708","2020-12-15 00:00:30.888373",True,NULL
316,"neutral",30,"Political discussions or campaining are prohibited","Political content in the form or pictures, discussions, or campaigning isn't allowed.",52,"2018-08-29 02:28:34.614375","2021-05-06 08:20:56.9998",NULL,""
172,"blocker",70,"You cannot delete your account of this service","There is no way of deleting your account, which implies that data might be stored forever.",45,"2018-01-16 15:26:09.399754","2018-08-29 20:51:01.473394",True,NULL
326,"bad",50,"Your profile is combined across various products","When using multiple services from one same company, they can combine these (unrelated) information sources about you to build up a single richer user profile about you.",26,"2018-08-31 13:15:57.978585","2018-08-31 13:16:23.785562",True,NULL
314,"neutral",20,"You are prohibited from posting content which promotes violence or politically or religiously extremist values.","Users are not allowed to post extremist political or religious content. They are also not allowed to post content that glorifies violence.",52,"2018-08-29 02:24:25.241886","2021-05-06 08:22:27.756407",NULL,""
336,"bad",50,"Your personal data may be used for marketing purposes","The service may use your personal data for marketing, such as sending you personalised offerings.",57,"2018-10-14 10:41:58.905206","2021-05-06 08:29:43.206779",True,"^((?=.*personal)|((?=.*user)(?=.*information)))(?=.*market)"
330,"bad",50,"The service disables software that you are not licensed to use.","The service disables software that you are not licensed to use.",27,"2018-09-14 06:18:43.157061","2018-09-14 06:18:43.157061",NULL,NULL
283,"neutral",20,"You agree not to submit libelous, harassing or threatening content","This service prohibits users from submitting content of a variety of types. This can include content that is unlawful, harassing, abusive, threatening, libelous, sexist, racist, homophobic, transphobic, or discriminatory in any other way.",52,"2018-08-24 05:20:59.209908","2021-05-06 08:44:59.314814",NULL,""
334,"good",30,"The service explains how to prevent disclosure of personal information to third parties","",48,"2018-09-21 07:20:48.648231","2018-09-21 07:20:48.648231",True,NULL
329,"neutral",50,"You should revisit the terms periodically, although in case of material changes, the service will notify","The service may update the Terms without notice, but if they significantly change the agreements in a manner that importantly and/or negatively affects the way the service is used, users will be notified.",46,"2018-09-10 12:21:49.95607","2021-05-06 08:45:04.837282",NULL,""
399,"neutral",0,"Your IP address is collected, which can be used to view your approximate location","",56,"2020-10-24 03:25:39.315313","2021-05-06 08:11:11.748969",True,""
389,"good",50,"You can scrape the site, as long as it doesn't impact the server too much","Automated web scraping is a method of extracting information from a website. The service authorises scraping if it doesn't impact its server(s) too much.",31,"2019-05-18 12:46:51.712939","2021-05-06 08:45:19.789216",NULL,""
378,"bad",80,"Service fines users for Terms of Service violations","Service fines users for violating provisions in the Terms of Service",31,"2018-10-26 00:28:51.062282","2018-10-26 00:28:51.062282",NULL,NULL
387,"bad",50,"This service tracks which web page referred you to it","The service logs the URL of the last web page you visited before visiting the Site and may use that information to gather more data about you.",25,"2019-05-18 11:10:35.059546","2021-05-02 04:36:35.407605",True,"^(((?=.*visited )((?=.*prior)|(?=.*before))|(?=.*visited from)(?=.*domain)|((?=.* referrer )|(?=.* referral )|(?=.* referring )|(?=.* referred ))((?=.*url)|(?=.*http)|(?=.*website)|(?=.*web page)|(?=.*address)))((?!.*collectively)))"
209,"good",30,"You are warned of the potential consequences related to third-party access","This is different from disclaiming liability for external links, which is handled by the ""This service assumes no responsibility and liability for the contents of links to other websites"" case.",48,"2018-01-16 15:26:10.104663","2021-05-06 08:31:31.304199",NULL,""
394,"neutral",20,"You cannot delete your contributions, but it makes sense for this service","For services that are under an open license where your contributions are for public knowledge (such as Wikipedia and ToS;DR).",45,"2020-07-06 19:00:59.092815","2020-07-06 19:03:44.148075",True,NULL
135,"good",15,"Copyright license limited for the purposes of that same service but transferable and sublicenseable","",30,"2018-01-16 15:26:08.542487","2019-05-12 14:25:54.62219",NULL,NULL
339,"bad",50,"You are forced into binding arbitration in case of disputes","This service forces users to use their own contracted arbitrator and forces users to waive their rights to jury trial.",42,"2018-10-18 11:37:47.416869","2021-05-06 08:30:14.8318",NULL,"^((?=.*binding))((?=.*arbitration))"
388,"neutral",50,"You are allowed to quote their content with attribution","",31,"2019-05-18 12:04:12.238535","2019-05-18 12:04:12.238535",NULL,NULL
384,"neutral",50,"You authorise the service to charge a credit card supplied on re-occurring basis","You card will be billed on recurring basis unless cancelled. For instance, monthly or annual subscriptions.",54,"2019-04-19 09:19:06.923122","2021-05-31 20:25:18.854573",True,"^((?=.*automatically)((?=.*renew)|(?=.*debit))((?!.*software license))|((?=.*monthly)|(?=.*annually))((?=.*re-occurring)|(?=.*reoccur))|((?=.*recurring)(?=.*subscription))|((?=.*charge you)(?=.*payment is due))|((?=.*begin billing)(?=.*end of)(?=.*free trial)))"
